ICO,Token,Softcap,Hardcap,Start,End,Quarterstart,Duration of offering,Country,Category,ERC20,Rating,Number of experts,Bonus,Policy,Number of team members,Distributed in ICO,US restriction,Restricted countries,Accepted fiat,Major cryptocurrencies,Presale,Amount raised
blockmesh,MESH,1000000,10000000,2/28/2018,3/31/2018,2018q1,31,Mauritius,"Cryptocurrency,Communication",1,3.4,2,0,0,10,0.11,1," Afghanistan, Albania, Bahamas, Belarus, Bosnia & Herzegovina, Botswana, Burundi, Cambodia, Canada, Central African Republic, Cote Dâ€™Ivoire, Crimea, Cuba, Democratic Peopleâ€™s Republic of Korea, Democratic Republic of Congo, Eritrea, Ethiopia, Ghana, Guinea, Guinea-Bissau, Iran, Iraq, Japan, Kosovo, Kyrgyzstan, Laos, Lebanon, Liberia, Libya, Macedonia, Malawi, Mali, Moldova, Mozambique, Myanmar (Burma), Pakistan, Serbia, Somalia, South Sudan, Sudan, Syria, Tanzania, Timor-Leste, Trinidad & Tobago, Tunisia, Turkmenistan, Uganda, United States of America (USA), and USA territories, Uzbekistan, Venezuela, Yemen, and Zimbabwe.",0,1,0,3486451
datum,DAT,1525450,29380000,10/29/2017,11/29/2017,2017q4,31,Switzerland,"Platform,Cryptocurrency,Businessservices,Investment,Internet,Software",0,3,2,1,0,12,0.576522729,,,0,1,0,7200000
mango-startups,MNG,,40000000,3/21/2018,4/21/2018,2018q1,31,Singapore,Investment,1,3.4,9,1,kyc,10,0.75,1," USA, China",0,1,1,300000
mco,MCO,,,5/18/2017,6/18/2017,2017q2,31,Switzerland,Banking,0,3.7,1,0,0,4,,,,0,1,0,26700000
micromoney,AMM,1000000,30000000,10/18/2017,11/18/2017,2017q4,31,Cambodia,"Banking,Platform",1,3.7,19,1,0,18,,,,0,1,0,10500000
on-live,ONL,10126760,72334000,3/11/2018,4/11/2018,2018q1,31,UK,"Platform,Infrastructure",1,3.7,7,0,0,14,0.55,,,0,1,0,14360529
rivetz,RvT,,20000000,8/10/2017,9/10/2017,2017q3,31,USA,"Internet,Platform,Communication",1,3.3,3,0,0,9,,1," USA, China",0,1,0,18653920
sureremit,RMT,,10000000,1/10/2018,2/10/2018,2018q1,31,USA,"Platform,Cryptocurrency,Retail",0,3.4,2,0,0,6,0.5,,,0,1,0,10000000
vinnd-io,VIN,,379200759,1/18/2018,2/18/2018,2018q1,31,Hong Kong,"Health,Cryptocurrency",1,3,5,0,0,12,0.60125,1," China, USA, Singapore",0,1,1,12000000
bitjob,STU,,,9/12/2017,10/13/2017,2017q3,31,Israel,"Internet,Businessservices",1,3,0,0,0,26,,1, USA,0,1,0,2700000
