ICO,Token,Softcap,Hardcap,Start,End,Quarterstart,Duration of offering,Country,Category,ERC20,Rating,Number of experts,Bonus,Policy,Number of team members,Distributed in ICO,US restriction,Restricted countries,Accepted fiat,Major cryptocurrencies,Presale,Amount raised
cybr,CYBR,2000000,15000000,6/23/2019,7/3/2019,2019q2,11,USA,"Businessservices,Cryptocurrency,Software",1,3.9,0,0,0,7,0.51,0, None,0,1,0,2000000
squeezer,SQR,,,6/10/2019,6/20/2019,2019q2,11,Belize,"Infrastructure,Cryptocurrency,Communication,BigData,Investment,Platform,Software",1,4.6,30,0,kyc,7,0.4,1," USA, Canada, China, Hong Kong",1,1,0,9000000
auctus,AUC,1634000,4628700,4/10/2018,4/20/2018,2018q2,11,British Virgin Islands,"Cryptocurrency,ArtificialIntelligence,Investment,Platform,SmartContract",1,3.9,39,1,kyc&whitelist,12,0.51,1," USA, China, and Singapore",0,1,1,6643081
truefeedback,Truefeedback Token / TFB,200000,770000,6/28/2019,7/8/2019,2019q2,11,Turkey,"Businessservices,Communication,Education,Platform",1,3.5,2,0,0,6,0.31,1," USA, China",0,1,1,367336
vena-network,Vena,,1881810,11/5/2018,11/15/2018,2018q4,11,Singapore,Cryptocurrency,1,3.5,0,0,0,7,0.3,0, Singapore,0,1,0,421000
foam,FOAM,,24000000,7/31/2018,8/10/2018,2018q3,11,USA,"Cryptocurrency,Electronics,Infrastructure,Platform,Realestate,SmartContract",1,3.7,4,0,kyc,14,0.3,,,0,1,0,13750000
pantheonx,XPN,1738100,10428600,4/18/2019,4/28/2019,2019q2,11,Singapore,"Businessservices,BigData,ArtificialIntelligence,Communication,Cryptocurrency,Education,Infrastructure,Investment,Platform,SmartContract",1,3.4,0,1,kyc,14,0.3,,,1,1,0,18822
leadcoin,LDC,,50000000,3/1/2018,3/11/2018,2018q1,11,Gibraltar,"Businessservices,Internet,Platform",1,3.5,1,0,kyc,17,0.5,0, Estonia,0,1,0,50000000
proximax,XPX,,112500000,4/15/2018,4/25/2018,2018q2,11,Singapore,"ArtificialIntelligence,BigData,Internet,Legal,Realestate,VirtualReality",0,3.5,1,0,kyc&whitelist,8,,1," USA, Canada, China, Republic of Korea, Japan",0,0,0,30364532
nimiq,NIM,,19675800,6/28/2017,7/8/2017,2017q2,11,Sweden,Cryptocurrency,1,2.7,1,0,0,13,,,,0,1,0,14528400
qvolta,QVT,,5455440,10/10/2017,10/20/2017,2017q4,11,Singapore,Cryptocurrency,1,2.9,0,0,0,4,0.8,,,0,1,0,1143178
sophiatx,SPHTX,,49957150,12/7/2017,12/17/2017,2017q4,11,Switzerland,"Platform,Businessservices",0,2.9,0,0,0,8,0.3,,,0,1,0,23470357
contractnet,CNET,2216500,13299000,3/10/2018,3/20/2018,2018q1,11,Hong Kong,"SmartContract,Cryptocurrency",0,2.8,0,0,kyc,5,0.92,1, USA,0,1,0,2661505
tigereum,TIG,,12000000,12/8/2017,12/18/2017,2017q4,11,UK,"Software,Cryptocurrency",1,3.5,3,1,0,8,0.8,,,0,1,0,500941
karma-international,KIT,,25000000,10/21/2017,10/31/2017,2017q4,11,USA,"Platform,Communication",0,2.8,1,1,0,14,0.425,,,0,1,0,10000000
the-magnus-collective,MGS,697950,209385000,2/5/2018,2/15/2018,2018q1,11,Seychelles,,1,3.9,6,1,kyc&whitelist,9,,,,0,1,0,2068417
wala-financial-platform,DALA,,30000000,12/1/2017,12/11/2017,2017q4,11,South Africa,"Businessservices,Platform",1,2.9,1,0,0,3,0.3,,,0,1,0,1200000
props,PROPS,,25000000,12/11/2017,12/21/2017,2017q4,11,USA,"Media,Platform",1,2.6,0,0,0,6,0.2,,,0,0,0,25000000
0chain,ZCHN,40000000,,2/7/2018,2/17/2018,2018q1,11,USA,"ArtificialIntelligence,Banking,BigData,Infrastructure,Internet,Platform,SmartContract",1,3.1,6,0,kyc&whitelist,7,0.1,0, China,0,1,1,39000000
origin-foundation,ORIGIN,3000000,16500000,6/18/2019,6/28/2019,2019q2,11,Hong Kong,,1,2.3,0,1,0,14,0.3,,,0,1,0,38100000
aircoin,ACT,,4443480,4/6/2018,4/16/2018,2018q2,11,Ukraine,Cryptocurrency,1,1.8,0,0,kyc,,,,,0,1,1,27987875
mcap,MCAP,,,4/27/2017,5/7/2017,2017q2,11,USA,Cryptocurrency,0,1.5,3,0,0,,,,,0,0,0,44287318
uranus,0,,12000000,1/21/2019,1/31/2019,2019q1,11,China,Infrastructure,0,3,4,0,kyc&whitelist,14,0,,,0,0,0,11114278
bitbase,BTB,,,10/17/2017,10/27/2017,2017q4,11,Germany,Cryptocurrency,0,2.1,0,0,0,9,0,,,0,1,0,1481131
elrond-network,ERD,,4750000,6/22/2019,7/1/2019,2019q2,10,Malta,"Cryptocurrency,Platform",1,4.6,7,0,kyc&whitelist,12,0.4,,,1,1,0,1900000
liker,LK,1400000,14000000,12/20/2018,12/29/2018,2018q4,10,Malta,Education,1,3.8,5,1,kyc&whitelist,24,0.3,1, USA,0,1,1,14000000
cloudbric,CLB,1020200,2040400,10/22/2018,10/31/2018,2018q4,10,Singapore,"BigData,ArtificialIntelligence,Internet,Platform,Software",1,4.4,23,1,kyc,15,0.44,1," USA, China",0,1,0,986750
mycro,MYO,,2750000,6/11/2019,6/20/2019,2019q2,10,Germany,Businessservices,1,4,2,1,kyc,15,0.11,1," USA, North Korea",0,1,0,1500000
sentinel-chain,SENC,6400000,14400000,3/1/2018,3/10/2018,2018q1,10,Singapore,"Banking,Businessservices",1,4,2,0,kyc,13,0.4,1," USA, China",0,1,1,14400000
remme,REM,480000,20000000,2/13/2018,2/22/2018,2018q1,10,British Virgin Islands,"Platform,Businessservices,Software,Internet",1,4.3,25,1,0,11,0.5,,,0,0,0,20000000
fusion,FSN,,42190000,2/1/2018,2/10/2018,2018q1,10,Singapore,Banking,1,3.3,0,0,0,10,0.35,,,0,1,0,42200000
x8-project,X8X,,4113660,1/15/2018,1/24/2018,2018q1,10,Switzerland,Cryptocurrency,1,3.4,13,0,0,14,0.34,,,0,1,0,4382363
lampix,PIX,5000000,60000000,8/9/2017,8/18/2017,2017q3,10,USA,"Platform,Software",0,3,0,0,0,13,0.5,,,0,1,0,12172472
mvlchain,MVL,1500000000,8700000000,5/15/2018,5/24/2018,2018q2,10,Singapore,Other,1,3.3,0,0,0,14,0.29,0," Cuba, Iran, Sudan, South Sudan, North Korea, Myanmar, Syria",0,1,0,3000000
socialx,SOCX,200000,2000000,1/15/2018,1/24/2018,2018q1,10,Singapore,"Platform,Entertainment,Media",1,3,1,1,0,22,,,,0,1,0,1916465
biotron-io,BTN,,,3/27/2018,4/5/2018,2018q1,10,Estonia,"BigData,Businessservices,Platform,SmartContract",1,2.9,0,0,0,11,0.35,0, None,0,1,0,4029150
webloc,WOK Token,2372000,6523000,11/12/2018,11/21/2018,2018q4,10,South Korea,"Businessservices,Communication,SmartContract",0,2.8,0,1,kyc&whitelist,31,0.4,1," USA, China",0,0,0,316555
bactoalarm,BTN,,,12/14/2017,12/23/2017,2017q4,10,Switzerland,"Investment,Health,Manufacturing",1,2.9,2,0,0,9,,,,0,1,0,1130
hara,HART,5000000,17000000,1/21/2019,1/30/2019,2019q1,10,Singapore,"BigData,Banking,Health,Infrastructure,Platform,Software",1,2.7,0,1,kyc,24,0.3,1," USA, China",0,1,0,17000000
gold-mine,GMT,,2418720,10/1/2017,10/10/2017,2017q4,10,,Other,1,2.2,0,0,0,,0.65,,,0,0,1,4749479
res,RES,,,6/3/2019,6/12/2019,2019q2,10,Kazakhstan,"Platform,Cryptocurrency",1,1.6,0,0,0,,,,,0,1,0,5500000
vio,VIO,,1395000,6/13/2018,6/22/2018,2018q2,10,Mauritius,"Banking,Cryptocurrency,Platform",1,1,1,0,kyc,,0,1,"USA, China, Japan",0,1,1,1200000
lition,LITION,2000000,5000000,3/18/2019,3/26/2019,2019q1,9,Liechtenstein,Infrastructure,1,4.5,2,0,kyc&whitelist,14,0.5,1," USA, China",0,1,0,4900000
nebulas,NAS,,60000000,12/8/2017,12/16/2017,2017q4,9,USA,"Platform,Cryptocurrency",1,4.3,7,0,0,14,0.3,1, USA,0,1,0,60000000
axl,AXL,,,1/10/2019,1/18/2019,2019q1,9,Singapore,"Art,ArtificialIntelligence,BigData,Communication,Entertainment,Internet,Media,Platform,Retail,SmartContract,Software,Sports",0,3.9,2,0,0,14,0.4,,,0,1,0,2000000
restart-energy,MWAT,10000000,30000000,1/15/2018,1/23/2018,2018q1,9,Romania,"Cryptocurrency,Energy",1,3.6,13,1,kyc&whitelist,14,0.8,,,0,1,0,30000000
plasmium,PLSM,,1236354,9/2/2018,9/10/2018,2018q3,9,Singapore,,1,2.9,0,0,0,8,0.25,1," USA, Singapore",0,1,0,1230147
bitfinex,LEO,,,5/5/2019,5/13/2019,2019q2,9,Taiwan,Cryptocurrency,0,3.8,3,0,0,6,1,,,0,0,0,1000000000
telegraf-money,DBC,,,10/24/2017,11/1/2017,2017q4,9,Denmark,"Communication,Platform,Businessservices",1,2.6,1,0,0,9,,,,0,0,0,5434123
bread,BRD,,20000000,12/16/2017,12/24/2017,2017q4,9,Switzerland,"Cryptocurrency,Platform,Banking,Software",1,3.4,8,0,0,6,0.6625,,,0,1,0,32000000
plutus,Pluton,,,6/30/2016,7/8/2016,2016q2,9,Italy,"Software,Platform",1,2.2,0,0,0,12,,,,0,0,0,1000000
bezant,BZNT,,40000000,5/3/2018,5/11/2018,2018q2,9,Singapore,"Cryptocurrency,Electronics,Entertainment,Infrastructure,Internet,Platform",1,3,1,1,kyc&whitelist,23,0.5,1,"USA, China",0,1,0,30000000
fluence,FLU,,22500000,8/5/2017,8/13/2017,2017q3,9,Russia,"Software,Internet",1,1.9,2,1,0,4,0,,,0,0,0,855809
2local,L2L,,,2/29/2020,3/8/2020,2020q1,9,Netherlands,"Charity,Businessservices,Banking,Communication,Cryptocurrency,Investment,Platform,Retail",0,4.8,10,1,kyc,12,0.54,1,USA,0,1,1,650000
celsius,CEL,15000000,50000000,3/16/2018,3/23/2018,2018q1,8,USA,"Platform,Banking",1,4.1,23,0,kyc&whitelist,6,0.5,1," North Korea, Syria, USA",0,1,1,50000000
cryptoads,CRAD,,30000000,5/20/2019,5/27/2019,2019q2,8,Ukraine,Platform,0,4.5,2,1,kyc,6,0.28,1, USA,0,1,1,3230373
freldo,FRECNX,500000,5000000,7/23/2019,7/30/2019,2019q3,8,Canada,"Businessservices,Communication,Cryptocurrency,Platform,SmartContract",1,3.8,8,1,kyc&whitelist,,0.75,1," USA, Canada, China",1,1,0,20172828
amo-coin,AMO,,1040000000,7/14/2018,7/21/2018,2018q3,8,Singapore,"Cryptocurrency,Platform",1,4.2,7,1,kyc,48,0.4,0, China,0,1,1,1399000
luckbox,LCK,,20000000,4/4/2018,4/11/2018,2018q2,8,Isle of Man,"Internet,Entertainment,Cryptocurrency,Casino&Gambling,Sports",1,3.5,1,1,kyc&whitelist,,0.34,1," USA, Iran, North Korea, Bosnia and Herzegovina, Iraq, Syria, Uganda, Vanuatu, Yemen",0,1,0,2000000
project-shivom,OMX,11693100,35000000,5/3/2018,5/10/2018,2018q2,8,Isle of Man,"BigData,Health,Platform,Software",1,3.9,8,0,kyc&whitelist,13,0.33,1, USA,1,1,0,35000000
smathium,SMT,,,6/5/2019,6/12/2019,2019q2,8,Singapore,"Retail,Platform,Cryptocurrency,Tourism",1,3.9,4,1,kyc&whitelist,10,0.4,1," Afghanistan, Albania, Belarus,Bosnia & Herzegovina, Burundi, Central African Republic, Cote dIvoire, Cuba, Democratic Republic of the Congo, Ethiopia, Guinea, Guinea-Bissau, Iran, Iraq, Lebanon, Liberia, Libya, Mainland China, Myanmar (Burma), North Korea, Republic of Macedonia (FYROM), Serbia, Somalia, South Sudan, Sri Lanka, Sudan, Syria, Thailand, Trinidad & Tobago, Tunisia, Uganda, Ukraine, United States of America (USA), Venezuela, Yemen, and Zimbabwe",0,1,1,15691200
appcoins,APPC,250000,15300000,12/13/2017,12/20/2017,2017q4,8,Singapore,"Software,Platform,Businessservices",1,3.9,23,0,0,18,,,,0,1,0,15300000
kappi-network,KAPPI,,,9/30/2019,10/7/2019,2019q3,8,UK,"Cryptocurrency,Infrastructure,Platform",1,2.9,0,0,0,6,0.2,1," China, USA, Singapore, Belarus",0,1,0,7000000
mix-rent,MIX,1000000,17000000,1/18/2019,1/25/2019,2019q1,8,Ireland,"Cryptocurrency,Infrastructure,Platform",1,3.6,1,1,kyc,5,0.52,1," USA, China, Korea, Canada, Afganistan, Irak, Yemen, Siria, Vanuatu, Guayana, Laos, Uganda",0,1,1,7200000
money-rebel,MRP,2384800,28617600,5/8/2018,5/15/2018,2018q2,8,Slovenia,"Investment,Businessservices,Banking,ArtificialIntelligence,Platform",1,3.4,13,1,kyc,9,0.6,,,0,1,0,2300000
bfex,BFEX,12000000,36000000,2/6/2018,2/13/2018,2018q1,8,Hong Kong,"Platform,Banking",0,3.2,0,1,kyc,4,0.5,,,0,1,1,3379715
ubricoin,UBN,250000,500000,10/3/2019,10/10/2019,2019q4,8,Kenya,Health,1,2.8,0,0,kyc,30,,,,0,1,0,250000
coinpoker,CHP,15586.5,97508104.9,1/19/2018,1/26/2018,2018q1,8,British Virgin Islands,"Entertainment,Casino&Gambling",1,3.2,5,1,whitelist,6,0.75,1, USA,0,1,0,52712179
gbx,RKT,10000000,27000000,2/7/2018,2/14/2018,2018q1,8,Gibraltar,"Platform,Cryptocurrency",1,2.7,0,0,0,14,,,,0,0,0,27000000
myart,MYT,1000000,3000000,8/1/2018,8/8/2018,2018q3,8,China,"Art,Platform,Media,Other",1,3,0,0,0,8,0.1,,,1,0,0,3000000
esax,ESAX,2500000,10000000,11/18/2019,11/25/2019,2019q4,8,Turkey,"Cryptocurrency,Banking,Investment",1,2.9,0,0,0,2,0.05,,,1,1,0,2000000
havven,,2000000,30000000,2/28/2018,3/7/2018,2018q1,8,Australia,"Cryptocurrency,Platform",1,3.5,12,1,kyc&whitelist,15,0.6,0, China,0,1,0,30000000
unochain,Unochain/UNOC,,,1/3/2020,1/10/2020,2020q1,8,UK,"Infrastructure,Platform",1,2.7,0,0,0,4,0.25,1," Singapore, China, USA",0,1,1,1250000
digipharm,DPH,,,6/18/2019,6/25/2019,2019q2,8,Switzerland,Health,1,3.3,1,1,kyc&whitelist,18,0.65,,,0,1,1,1521804
ethorse,HORSE,502328,5023280,1/10/2018,1/17/2018,2018q1,8,Cayman Islands,"SmartContract,Platform,Casino&Gambling",1,3.8,13,1,0,,0.8,,,0,1,0,4800000
meet-luna,LSTRS,,,2/1/2018,2/8/2018,2018q1,8,South Korea,"ArtificialIntelligence,Charity,Communication,Cryptocurrency,Entertainment,Internet",0,2.6,0,0,kyc&whitelist,3,0.4,1," USA, UK, Ireland, Canada, China, Singapore",0,0,0,12000000
switcheo-network,SWH,,1200000,3/16/2018,3/23/2018,2018q1,8,Singapore,"Cryptocurrency,SmartContract,Software",0,3.1,1,0,kyc&whitelist,4,0.1,,,0,0,0,8700000
educoin,EDU,,,3/18/2018,3/25/2018,2018q1,8,Singapore,Education,1,2.4,0,0,0,6,0.5,,,0,1,0,10000000
lendingblock,LND,5000000,10000000,4/15/2018,4/22/2018,2018q2,8,UK,"Cryptocurrency,Investment,Other",1,3.1,3,1,kyc&whitelist,6,0.1,1," USA, China",0,1,1,10000000
qredit,QRT,,2360370,2/3/2018,2/10/2018,2018q1,8,Netherlands,"Cryptocurrency,Retail",0,2.7,1,0,kyc&whitelist,5,0.9,1," South Korea, China, USA, Bolivia, Equador, Iceland, Sweden, Vietnam, Bangladesh",0,0,1,647314
cacao-shares,CcS,,,2/21/2018,2/28/2018,2018q1,8,Japan,"Charity,Tourism",1,2.1,0,0,kyc,7,,1, USA NYC,0,1,0,4781
chrono-logic,DAY,,13347688.25,8/28/2017,9/4/2017,2017q3,8,USA,Cryptocurrency,1,2.3,0,0,0,8,,,,0,1,0,7400000
snapup,SNP,5000000,33000000,8/28/2017,9/4/2017,2017q3,8,Estonia,Retail,1,2.3,0,1,0,4,0.5,,,0,0,0,84453
useless-ethereum-token,UET,,,7/4/2017,7/11/2017,2017q3,8,,Cryptocurrency,1,1,6,0,0,,,,,0,1,0,80520
bzx,BZRX,,7920500,8/31/2018,9/7/2018,2018q3,8,USA,"Cryptocurrency,Infrastructure,Investment,SmartContract",1,3.4,0,1,kyc&whitelist,8,0.5,1,USA,0,1,1,7600000
metronome,MTN,,10242818.12,6/18/2018,6/25/2018,2018q2,8,USA,Cryptocurrency,1,3.6,6,0,0,15,0.8,,,0,0,0,10242818
phantasma,SOUL,,10000000,5/22/2018,5/29/2018,2018q2,8,Portugal,"Other,Communication",0,2.7,1,0,0,8,0.65,,,0,0,0,10000000
aion,0,,20000000,10/3/2017,10/10/2017,2017q4,8,Canada,Other,0,1.6,0,0,0,,0,,,0,0,0,7844389
validcoin,VAC,,,1/27/2018,2/3/2018,2018q1,8,UK,"ArtificialIntelligence,Cryptocurrency,Investment",1,1.3,0,0,0,,0,,,0,1,0,10730000
coti,COTI,,30000000,5/28/2019,6/3/2019,2019q2,7,Gibraltar,"ArtificialIntelligence,BigData,Businessservices,Cryptocurrency,Infrastructure,Internet,Retail",0,3.9,23,0,kyc&whitelist,23,0.3,0," Afghanistan, Bosnia and Herzegovina, Central African Republic, Cuba, Democratic Republic of the Congo, People's Republic of China, Eritrea, Ethiopia, Guinea-Bissau, Israel, Iran, Iraq, Libya, Lebanon, Somalia, South Sudan, Sudan, Syria, Uganda, United States, Vanuatu, Yemen",1,1,0,11000000
tokenize-emblem,TKX,3430950,18984590,9/24/2018,9/30/2018,2018q3,7,Singapore,Cryptocurrency,1,3.8,0,0,kyc&whitelist,11,0.5,1," US, China, Russia, India",0,1,0,3486300
peoplewave,PWV,2000000,20000000,5/31/2018,6/6/2018,2018q2,7,Singapore,"Businessservices,Platform,Software",1,4.1,4,1,kyc,19,0.42,1," USA, China",1,1,1,591600
poseidon-network-qqq,QQQ Token,,,5/11/2019,5/17/2019,2019q2,7,Taiwan,Internet,1,3.4,0,0,0,,0.1,0, None,0,1,0,500000
blockv,VEE,,40000000,10/19/2017,10/25/2017,2017q4,7,USA,"Software,Platform",1,3.3,4,0,0,4,0.35,,,0,1,0,21500000
fluzfluz,FLUZ,,20000000,1/18/2018,1/24/2018,2018q1,7,Colombia,"Platform,Cryptocurrency",0,3.7,22,0,kyc,6,,,,1,1,0,20000000
gre,RISK,300000000,1500000000,5/18/2018,5/24/2018,2018q2,7,Hong Kong,Infrastructure,1,3,0,0,kyc,2,0.4,1," USA, China",0,0,0,3858500
uos-network,UOS,,,8/8/2019,8/14/2019,2019q3,7,,"Cryptocurrency,Platform",1,2.9,0,0,0,13,0.1,,,0,1,0,200000
storj,STORJ,,,5/19/2017,5/25/2017,2017q2,7,USA,"Platform,Software",0,2.8,0,0,0,15,,,,0,0,0,30000000
jet8,J8T,25000000,36000000,2/28/2018,3/6/2018,2018q1,7,Singapore,Media,0,3.9,11,0,kyc&whitelist,33,0.3,1," USA, China",0,0,0,32706262
300-token,300,,,6/30/2017,7/6/2017,2017q2,7,Hong Kong,Cryptocurrency,1,1,9,0,0,,,,,0,1,0,16724
iryo,IRYO,8000000,26000000,4/11/2018,4/17/2018,2018q2,7,Slovenia,"ArtificialIntelligence,BigData,Health,Platform,SmartContract",1,3.7,12,1,kyc&whitelist,7,0.8,1,"USA, China, South Korea",0,1,0,15800000
odyssey,OCN,,50000000,1/17/2018,1/23/2018,2018q1,7,Singapore,"Cryptocurrency,Platform",1,2.4,0,0,kyc&whitelist,9,0.4,1,"USA, Chinese",0,1,0,50000000
verasity,VRA,4000000,25000000,3/1/2019,3/6/2019,2019q1,6,Cayman Islands,"Cryptocurrency,Entertainment,Media,Platform",1,4.3,17,0,kyc&whitelist,18,0.5,1," USA (Accredited only), Cayman Islands, North Korea, Somalia, Yemen",0,1,1,19000000
metadium,META,,,9/17/2018,9/22/2018,2018q3,6,Cayman Islands,"Other,Cryptocurrency,Businessservices,BigData,Platform,SmartContract",1,3.8,0,0,kyc,6,0.525,1," USA, China",0,1,1,10557072
spotcoin,SPOT,5000000,30000000,10/22/2018,10/27/2018,2018q4,6,Georgia,"Banking,Businessservices,Cryptocurrency,Investment,Retail",0,3.9,12,1,kyc&whitelist,22,0.67,1," USA, US territories, China, South Korea, Bosnia and Herzegovina, Ethiopia, Iran, Iraq, North Korea, Serbia, Sudan, Syria, Sri Lanka, Trinidad, Tobago, Tunisia, Vanuatu, and Yemen.",1,1,0,14500000
qtum,QTUM,,,3/12/2017,3/17/2017,2017q1,6,Singapore,"Cryptocurrency,Businessservices",0,4,4,0,0,18,,,,0,1,0,15000000
lightstreams,PHT,2000000,20000000,7/25/2019,7/30/2019,2019q3,6,Estonia,Platform,1,4,4,0,kyc&whitelist,12,0.55,1," USA, China, Singapore",0,1,0,4700000
usechain,USE,7132200,22120000,8/8/2018,8/13/2018,2018q3,6,Singapore,"Banking,Businessservices,Cryptocurrency,Infrastructure,Other,Platform,SmartContract",1,3.8,1,0,kyc&whitelist,9,0.45,1," China, USA",0,1,1,29000000
etainpower-token-ico,EPR,3000000,13000000,12/25/2018,12/30/2018,2018q4,6,Cayman Islands,"ArtificialIntelligence,Energy,Investment,Platform,SmartContract",1,3.2,0,0,kyc&whitelist,18,0.35,1," USA, Korea, Algeria, Iran",0,1,1,3500000
ethlend,LEND,,17600000,11/25/2017,11/30/2017,2017q4,6,Estonia,Cryptocurrency,1,3.9,23,1,0,25,,1," USA, China, Canada, Korea, UK",0,1,0,16200000
izichain,IZI,695000,4170000,4/20/2019,4/25/2019,2019q2,6,Vietnam,"Banking,BigData,Businessservices,Cryptocurrency,Investment,Platform,SmartContract",1,2.8,0,1,kyc,4,0.5,,,0,1,0,2000000
celer-network,CELR,,,3/19/2019,3/24/2019,2019q1,6,Singapore,Platform,1,3.9,5,0,0,11,0.3,,,0,1,0,3880597
ip-sharing-exchange,IPSX,,,2/28/2018,3/5/2018,2018q1,6,Switzerland,"BigData,Internet",1,3,1,0,kyc&whitelist,6,,1," USA, Canada, China, Taiwan - CAN NOT Participate",0,1,0,8015720
daex,DAX,1378440,1969200,9/9/2018,9/14/2018,2018q3,6,China,Cryptocurrency,1,2.8,1,0,kyc,5,0.02,1," USA, China",0,1,0,1037304
darcrus,DAR,,,12/21/2016,12/26/2016,2016q4,6,USA,"Platform,Businessservices",0,2.3,0,0,0,3,,,,0,1,0,297426
time-new-bank,TNB,6952200,23255109,11/18/2017,11/23/2017,2017q4,6,Singapore,"Platform,Businessservices",1,2.3,0,0,0,4,0.37,,,0,0,0,14360000
ethbet,EBET,,1965000,9/17/2017,9/22/2017,2017q3,6,,Platform,1,2.1,0,0,0,,0.75,,,0,1,0,1340000
connectome,CNTM,,4500000,5/6/2019,5/11/2019,2019q2,6,Singapore,"Platform,VirtualReality",0,2,0,0,0,7,0.75,,,0,0,0,3885000
gobyte,GBX,,,,,1900q1,,Malaysia,"Banking,Businessservices,Cryptocurrency,Infrastructure,Internet,Investment,Platform,Retail,SmartContract,Software",0,2.9,0,0,0,5,0,,,0,0,0,27000000
axpire,AXPR,3000000,20000000,1/8/2018,1/12/2018,2018q1,5,USA,"Platform,Other,Businessservices,ArtificialIntelligence,Software",1,4,3,0,kyc,4,0.75,,,0,1,1,20000000
bitforex,BF,14090100,25831850,7/27/2018,7/31/2018,2018q3,5,Seychelles,"Cryptocurrency,Platform",1,4.2,7,0,0,1,0.08,0, None,1,1,0,24000000
poseidon-foundation,OCEAN,11231000,4851792000,5/13/2019,5/17/2019,2019q2,5,Malta,"Platform,Energy,Charity,ArtificialIntelligence,SmartContract",0,3.6,2,1,kyc,16,0.5,,,1,1,0,2421832
acutecoin,XAC,,,6/25/2018,6/29/2018,2018q2,5,UK,"Cryptocurrency,Investment,Platform",0,3,1,0,0,7,0.15,1," USA, China, New Zealand",0,1,1,1300000
alphanu,ANU,,,7/10/2019,7/14/2019,2019q3,5,Taiwan,Platform,1,3.7,1,0,kyc&whitelist,8,0.02,0," Exclude Americans, Exclude People's Republic of China",0,0,0,500000
neutro,NTO,,,7/27/2019,7/31/2019,2019q3,5,Saint Kitts and Nevis,"Infrastructure,Software",1,3.2,0,1,kyc,8,0.5,0, None,0,1,1,4740000
request-network,REQ,,33876000,10/13/2017,10/17/2017,2017q4,5,Germany,"Businessservices,Platform",0,3.8,3,0,0,7,,,,0,1,0,33338000
sonm,SNM,,98951300.07,6/15/2017,6/19/2017,2017q2,5,Russia,"Software,Infrastructure,Platform",0,2.9,1,0,0,14,,,,0,0,0,42000000
btccredit,BTCC,2500000,10000000,11/29/2019,12/3/2019,2019q4,5,Estonia,Banking,1,2.9,0,0,whitelist,3,0.4,1," Afghanistan, Bosnia and Herzegovina, Cayman Islands, Democratic People's Republic of Korea (DPRK), Ethiopia, Iran, Iraq, Pakistan, Sri Lanka, Syria, Trinidad and Tobago, Tunisia, Uganda, USA, Yemen",0,1,1,500000
essentia,ESS,,,6/25/2018,6/29/2018,2018q2,5,Switzerland,"SmartContract,Platform,Other,Investment,Internet,Infrastructure,Cryptocurrency,Communication,Businessservices,BigData,ArtificialIntelligence,Software",1,3.7,6,0,kyc&whitelist,32,0.35,1, USA,0,1,0,25500000
0x,ZRX,,,8/11/2017,8/15/2017,2017q3,5,USA,"Platform,Internet,Cryptocurrency",1,3.1,3,0,0,6,0.5,,,0,1,0,24000000
internationalcryptox,INCX,,10000000,6/11/2018,6/15/2018,2018q2,5,Singapore,"Cryptocurrency,Platform",1,2.8,0,0,0,6,0.4343,,,0,1,0,5131500
bolt,BOLT,,12000000,9/18/2018,9/22/2018,2018q3,5,UK,"Entertainment,Platform",1,2.7,0,0,kyc&whitelist,21,0.4,0," Afghanistan, Belarus, Burundi, Central African Republic, Democratic Republic of the Congo, Egypt, Eritrea, Iran, Iraq, Lebanon, Libya, Mali, North Korea, Republic of Guinea-Bissau, Somalia, South Sudan, Sudan, Syria, Tunisia, Ukraine, Venezuela, Yemen, Zimbabwe",0,1,0,9000000
ghost-talk,XCSS,,20000000,5/30/2019,6/3/2019,2019q2,5,South Korea,"Platform,Communication",1,2.4,0,0,0,12,0.2,,,1,1,0,1500000
multivac,MTV,,3600000,4/3/2019,4/7/2019,2019q2,5,Singapore,Platform,1,2.8,2,0,0,15,0.06,,,0,1,0,16200000
colu-local-network,CLN,30000000,50000000,2/14/2018,2/18/2018,2018q1,5,Israel,Platform,1,3.9,10,0,kyc&whitelist,52,0.35,,,0,1,0,23000000
travelkoin,TKT,,35000000,4/9/2018,4/13/2018,2018q2,5,Thailand,"Banking,SmartContract,Software,Tourism",0,2.3,1,0,kyc&whitelist,7,,,,0,0,0,1750000
dash,0,,,,,1900q1,,,Platform,0,3.4,1,0,0,,0,,,0,0,0,7543380
msc,MSC,,,6/6/2018,6/10/2018,2018q2,5,Singapore,Cryptocurrency,1,2,0,0,kyc&whitelist,3,0.4,1," USA, China",0,1,0,5337587
vault12,VGT,,,9/26/2018,9/30/2018,2018q3,5,,Platform,0,1.8,0,0,0,4,0.4,,,0,0,0,32000000
iotex,IOTX,,,2/1/2018,2/28/2018,2018q1,28,USA,"Charity,Cryptocurrency,Platform,SmartContract",1,4,4,0,whitelist,8,0.24,0,None,0,1,0,14025000
kambria,KAT,,19900000,12/1/2018,12/5/2018,2018q4,5,USA,"Cryptocurrency,ArtificialIntelligence,Platform",1,3.5,1,0,kyc&whitelist,6,0.5,1,"China, USA",0,1,0,16000000
libra-credit,CRED,,26400000,5/1/2018,5/5/2018,2018q2,5,USA,Banking,1,2.3,0,0,0,15,0.04,,,0,1,0,26400000
