ICO,AR7,AR30,AR180
playcoin,-0.178218062,0.051867964,-0.301034102
celsius,-0.348855418,-0.390498234,-0.150167817
iou,-0.042980587,-0.16557599,-0.104660534
innovaminex,1.498588246,-0.413331517,-0.522862055
creatanium,0.093440408,0.044232596,
krypton-galaxy-coin,0.112674318,-0.222978991,
dacc,0.061289256,-0.294502882,-0.320359155
venjocoin,4.519555045,4.303508924,5.327905136
aitheon,-0.458829869,-0.033597111,
izichain,-0.070349206,3.803418913,-0.885657304
nairax,-0.015955714,,
idealcoin,-0.570240232,-0.681762221,
lemochain,-0.07034445,-0.543365491,-0.419288847
sparkster,-0.286199426,-0.56228223,-0.839381504
zerobank,-0.100200523,-0.518468656,-0.65264648
aerum,-0.636439944,-0.744404204,
kappi-network,-0.339885292,-0.478882145,
xtrd,0.499300913,-0.084219121,-0.235769299
gazecoin,0.080004373,-0.287349164,0.807859466
gamblica,-0.240694806,1.398504183,-2.524589977
oath-protocol,0.904356352,1.503437135,
fintab,0.029887774,-0.379713176,-0.520210307
bolttcoin,-0.000172862,-0.342023127,-2.542448526
localcoinswap,-0.200305192,0.047182697,-0.255008101
play-game,-0.215290555,0.045060951,-2.190713191
hybridblock,-0.193947988,-0.466692814,-0.466753387
medicalchain,0.031074004,-0.414922169,-0.583687836
coinlion,-0.1239306,-0.223867822,-0.456321528
bob-s-repair,-0.285666591,-0.555605588,-0.329928441
loci-coin,-0.262690046,-0.70404421,-0.557420831
napoleon-x,0.046327812,0.414115097,-0.037436926
true-flip,-0.320133999,-0.441366626,-2.10169242
energi-token,0.077091327,-0.556061848,-0.452872772
one-ledger,0.267711178,-0.550496618,-0.46359062
po-et,-0.328863545,-0.469353359,0.559805373
educoin,-0.203438576,-0.408696173,-0.594710834
electrify-asia,0.437135534,0.077925879,-0.491746607
blockarray,0.132875197,-0.507257878,-0.485364524
basic-attention,0.251073017,-0.354341455,-2.565974917
dxchain,-0.445550848,-0.409712255,-0.214555406
bibox,0.140989491,0.908743092,1.664437495
bitforex,-0.088465439,0.019700456,
raiden-network,1.109245786,-0.072422106,0.134129479
sirin-labs,0.548234404,3.177313278,-0.272707932
vegawallet,-0.007974028,0.126992074,-2.008998348
aidus,-0.020300961,-0.135311704,-1.946274058
coinmetro,-0.0153506,-0.123357756,
cybr,-0.247836981,-0.159357185,
thrive,-0.063801568,-0.668628669,-0.291973788
bitscreener,-0.015628602,-0.098468127,-0.252008475
provoco,-0.216104348,-0.554799046,-0.856848116
bitnautic,0.275882226,5.181953816,-0.657388903
alt-estate,-0.48764856,-0.510798049,-0.5354847
wpp,-0.196496526,-1.178688018,-1.339334928
sola,0.562939374,0.564761264,-0.0665114
kora-network,-0.113681842,-0.1446252,-0.431015698
yobit,-0.115013255,-0.156803359,
probit,0.063032267,0.148446669,
duo-network,0.531675433,-0.743974569,-1.568742771
esports,0.002035124,-0.422144738,-0.345153912
usechain,-0.226126191,-0.067871998,0.07194856
webn,0.134239168,0.161297226,-2.532380186
dragon,-0.118429552,-0.516733126,-0.586314484
bitbook-1,-0.1030899,-0.542204958,0.168412482
cryptoindex,0.141422755,0.115332487,0.06152037
streamr,0.377719009,0.032102091,-0.012861501
invictus,0.059455645,0.146065213,-0.13324397
xinfin,0.665404946,1.594388411,-0.331768189
restart-energy,-0.004069783,-0.223057744,-0.181158718
playcoin,-0.231285419,-0.408695695,-0.588768851
oneroot,-0.153328036,-0.057914959,0.140823385
trade-io,0.417064804,0.066495021,-1.366595499
the-abyss,-0.180412003,-0.365110187,-0.388310054
blue-whale,-0.023326922,-0.143082828,-0.334946172
iht-coin,-0.109556737,0.007487978,-0.432173524
horyou,0.07508505,-0.17588022,-0.867455434
peerplays,0.480137674,-0.230151642,-4.524105709
ceek,-0.296695076,-0.155619698,-0.374954958
osa,0.11126093,-0.079095274,-0.834986661
zebi,0.708773113,0.132985795,-0.526385581
quadrant,0.071498425,-0.301183786,1.464055062
trinity,0.269994333,-0.310960951,-0.520548386
bitex,0.031584621,1.033600756,-2.00505871
carboneum,-0.275694017,-0.385600424,0.372536491
personal-data-democracy,-0.972128638,-0.941006262,-0.630448388
scorum,-0.294304275,0.275138305,-0.288385292
dav,0.003042366,-0.359111481,-0.396319365
signals,-0.036510091,-0.364451253,-0.445615523
cryptoads,-0.217274961,-0.625254762,
boatpilot,2.695044012,-0.046484866,-2.001545224
datarius,1.626273294,0.433649614,-0.356406426
bitguild,0.686046504,0.36172623,-1.470192296
innovative-bioresearch,9.160623143,4.559851542,-2.315951152
vikky,-0.412607082,0.061871239,-0.212198619
comsa,0.363796499,-0.401004214,-0.378635509
comsa,0.343713683,-0.369327196,-0.378033107
