Name,Symbol,Price,45d,90d,200d,MktCap,24hVol,Circ_Supply,Total_Supply,Brand_Buzz,Social,Avg_volume,Age_mo,Winning_months
Waletoken,WTN,2.45E-06,-47.18,-80.66,-80.66,48.88,24.15,19.919,19918713667,0,58,8617,3,3
Freicoin,FRC,0.0118,95.32,52.31,91.33,382.41,0.86,32.476,100000000,,20,63,69,69
Adelphoi,ADL,0.0075,-53.92,-84.51,-84.51,155.55,299.54,20.722,100000000,0,26,74,20,20
BitcoinFast,BCF,0.004,-27.13,-64.35,-50.12,71.21,0,17.696,17696348,,43,43,50,50
Sparks,SPK,0.0057,-8.87,-58.61,-96.25,30.46,45.89,5.36,6187909,,23,70,12,12
FidentiaX,FDX,0.0123,109.99,-9.11,-39.7,1.29,206.38,105,130000000,50,51,199,13,13
Vites,VITES,7.90E-05,96.02,96.02,,2.87,0.4,36.361,36361188781,,48,94,3,3
Megacoin,MEC,0.0094,281.58,31.4,15.37,359.02,51.09,38.035,38035269,0,35,46,67,67
LiteDoge,LDOGE,3.79E-05,-6.63,-42.73,-58.42,577.73,77.17,15.243,15242675574,,34,211,47,47
GazeCoin,GZE,0.0078,-52.66,-61.73,-61.73,0,0,0,29508557,25,44,11247,5,5
EDUCare,EKT,0.0512,531.87,244.03,-23.3,33.77,1.94,659.095,1000000000,0,66,185898,12,12
Magi,XMG,0.0355,209.77,93.43,-72,308.15,17.26,8.686,8685687,,24,61,52,52
BoostCoin,BOST,0.0017,-46.65,-67.48,-73.4,20.61,0.75,11.855,11855487,0,35,0.2069,56,56
EmaratCoin,AEC,0.01,-45.84,-83.94,-83.94,0,21.9,0,21598590,,19,2,4,4
Coni,CONI,0.0296,161.84,9.37,-68.35,0,863.71,0,1000000000,0,57,6125,7,7
Bullion,CBX,0.3697,-35.08,-73.5,-81.91,380.03,0,1.028,1027945,0,28,21,66,66
Bitradio,BRO,0.0397,87.05,0.12,-35.99,298.2,0,7.513,12513451,0,45,68,19,19
Iqcash,IQ,0.0051,-24.12,-84.44,-84.44,19.95,61.35,3.896,11296163,,38,49,5,5
SocialCoin,SOCC,0.0006,-66.83,-91.36,-94.43,5.82,153.83,10.518,10678425,,38,1338,19,19
Sphere,SPHR,0.5691,24.75,-3.09,-34.76,7.1,73.62,12.484,12484344,,51,16847,45,45
ArbitrageCT,ARCT,0.0009,-19.31,-65.9,-73.59,89.88,28.45,94.796,150869765,0,58,738,13,13
Jin Coin,JIN,0.004,-33.94,-54.95,-54.95,39.35,395.44,9.96,9960402,,39,23,29,29
