Name,Start Date,End Date,Soft Cap,Hard Cap,Funds Raised,Amount of Tokens at ICO,Consensus Mechanisms,Purpose,Type,Platform,On Exchanges?,Market Price,Market Volume,Market Cap,Circulating Supply,Bullish vs. Bearish Sentiment,Popularity
Crypto 20 (C20),10/6/2017,11/30/2017,,,,,,,,,,,,,,,
E-Veksel (EVR),9/8/2017,11/30/2017,,,,,,,,,,,,,,,
Esports.com (ERT),10/31/2017,11/30/2017,,,,,,,,,,,,,,,
EthLend (LEND),11/25/2017,11/30/2017,,,,,,,,,,,,,,,
Genaro Support Program (GNX),11/17/2017,11/30/2017,,,,,,,,,,,,,,,
Hagglin App (N/A),10/30/2017,11/30/2017,,,,,,,,,,,,,,,
LangPie (LGP),9/27/2017,11/30/2017,,,,,,,,,,,,,,,
LockChain (LOC),10/2/2017,11/30/2017,,,,,,,,,,,,,,,
Trive (TRV),10/31/2017,11/30/2017,,,,,,,,,,,,,,,
Verif-y (VFY),10/24/2017,11/30/2017,,,,,,,,,,,,,,,
ByteBet (BBET),11/21/2017,11/29/2017,,,,,,,,,,,,,,,
Datum (DAT),10/28/2017,11/29/2017,,,,,,,,,,,,,,,
Sinergia Blockchain (SNG),10/24/2017,11/29/2017,,,,,,,,,,,,,,,
Ventured Network (VCN),11/22/2017,11/29/2017,,,,,,,,,,,,,,,
WAX (WAX),10/17/2017,11/29/2017,,,,,,,,,,,,,,,
Sintez (SINT),11/7/2017,11/28/2017,,,,,,,,,,,,,,,
LydianCoin (LDN),11/20/2017,11/27/2017,,,,,,,,,,,,,,,
Boulè (BUO),10/24/2017,11/25/2017,,,,,,,,,,,,,,,
CyberMiles (CMT),10/23/2017,11/25/2017,,,,,,,,,,,,,,,
EZMarket (EZM),10/13/2017,11/25/2017,,,,,,,,,,,,,,,
Remechain (iRMC),11/9/2017,11/25/2017,,,,,,,,,,,,,,,
The Divi Project (DVIX),10/23/1971,11/25/2017,,,,,,,,,,,,,,,
DreamTeam (DTT),11/20/2017,11/24/2017,,,,,,,,,,,,,,,
Flixxo (FLIXX),10/23/2017,11/24/2017,,,,,,,,,,,,,,,
Mercury Protocol (GMT),10/24/2017,11/24/2017,,,,,,,,,,,,,,,
Qchain (EQC),10/23/2017,11/24/2017,,,,,,,,,,,,,,,
Starbase (STAR),11/9/2017,11/24/2017,,,,,,,,,,,,,,,
SmartProgress (SMC),10/21/2017,11/22/2017,,,,,,,,,,,,,,,
WandX (Wand),10/21/2017,11/22/2017,,,,,,,,,,,,,,,
Blockbid (BID),10/20/2017,11/21/2017,,,,,,,,,,,,,,,
Brickblock (BBT),10/30/2017,11/21/2017,,,,,,,,,,,,,,,
Decentralize Escrow-ANTISCAM (DES),8/26/2017,11/21/2017,,,,,,,,,,,,,,,
