ICO,AR7,AR30,AR180,ICO,Token,Softcap,Hardcap,Start,End,Quarterstart,Duration of offering,Country,Category,ERC20,Rating,Number of experts,Bonus,Policy,Number of team members,Distributed in ICO,US restriction,Restricted countries,Accepted fiat,Major cryptocurrencies,Presale,Amount raised
polyswarm,0.329648141,0.568667204,-0.258653362,polyswarm,NCT,5000000,50000000,2/20/2018,3/22/2018,2018q1,30,USA,Platform,1,3.5,11,1,0,7,0.7,,,0,1,0,25940000
iqeon,0.065737378,-0.023324607,0.827345786,iqeon,IQN,2142260,20351470,1/30/2018,3/13/2018,2018q1,42,Estonia,"Entertainment,Cryptocurrency,Sports",1,4,28,1,0,15,0.7,1," USA, Singapore",0,1,1,1564307
ternio,0.241759994,-0.636330407,-0.428751853,ternio,TERN,3000000,40000000,6/1/2018,6/15/2018,2018q2,15,USA,"Infrastructure,Cryptocurrency,Internet,Media,Platform,Software",0,4.6,4,1,kyc,3,0.49,,,1,1,1,3000000
krios,-0.050247631,-0.125325619,-0.22469842,krios,KRI,,,1/8/2018,5/15/2018,2018q1,127,Belize,"Platform,Businessservices,Internet",1,3,1,0,0,16,0.77,,,0,1,1,20000000
roobee,-0.207291049,-0.365021094,,roobee,ROOBEE,4500000,27000000,6/4/2019,9/7/2019,2019q2,95,Estonia,"ArtificialIntelligence,Investment,Platform",1,4,1,1,kyc&whitelist,10,0.54,,,0,1,0,8191200
coinpoker,-0.139407308,-0.153560189,-0.596063882,coinpoker,CHP,15586.5,97508104.9,1/19/2018,1/26/2018,2018q1,8,British Virgin Islands,"Entertainment,Casino&Gambling",1,3.2,5,1,whitelist,6,0.75,1, USA,0,1,0,52712179
bolt,0.184853854,-0.002255977,-1.210862526,bolt,BOLT,,12000000,9/18/2018,9/22/2018,2018q3,5,UK,"Entertainment,Platform",1,2.7,0,0,kyc&whitelist,21,0.4,0," Afghanistan, Belarus, Burundi, Central African Republic, Democratic Republic of the Congo, Egypt, Eritrea, Iran, Iraq, Lebanon, Libya, Mali, North Korea, Republic of Guinea-Bissau, Somalia, South Sudan, Sudan, Syria, Tunisia, Ukraine, Venezuela, Yemen, Zimbabwe",0,1,0,9000000
aeron,0.125007819,-0.941668467,2.729671658,aeron,ARN,,,9/19/2017,10/30/2017,2017q3,41,Belize,"Tourism,Infrastructure",1,3.7,16,1,0,11,0.6,1," USA, China",0,1,0,4897723
insights-network,-0.190479195,-0.276228392,-0.460375996,insights-network,INSTAR,,16000000,1/28/2018,2/14/2018,2018q1,18,Cayman Islands,Cryptocurrency,1,3,3,0,0,5,0.35,,,0,1,0,17400000
lympo,0.273148641,0.62911043,0.286046726,lympo,LYM,,,2/17/2018,2/28/2018,2018q1,12,Estonia,"Sports,Health",1,4.2,33,1,kyc,11,0.65,1," USA, China",0,1,1,12844699
everycoin,0.007295762,-0.146609726,-1.962588469,everycoin,EYC,3851680,49889392,10/25/2018,12/25/2018,2018q4,61,Thailand,"Banking,Cryptocurrency,Platform,SmartContract",1,2.9,0,1,kyc&whitelist,12,0.4,,,0,1,0,4000000
gold-bits-coin,-0.207359495,0.198681085,-0.001453656,gold-bits-coin,GBC,,,2/1/2018,5/25/2018,2018q1,113,Australia,"Cryptocurrency,Investment",1,2.4,0,1,whitelist,7,0.1,,,0,1,1,50000000
winding-tree,-0.020944905,0.064395259,0.52467783,winding-tree,Lif,,10000000,2/1/2018,2/15/2018,2018q1,15,Switzerland,Tourism,0,3.5,16,0,0,4,0.7,,,0,1,0,14895672
